val_sample_no,id,event,label,pred,prob_rumor,confidence,correct,error_type,abs_margin_from_0_5,top_rumor_evidence,top_non_rumor_evidence,text
387,535270217689993216,0,1,0,0.362892147202043,0.637107852797957,False,false_negative,0.137107852797957,词项'museum'(0.235)；字符片段'acc'(0.217)；词项'psychiatric'(0.208),词项'to'(0.335)；词项'not'(0.295)；词项'gurlitt'(0.270),According to psychiatric evaluation #Gurlitt not mentally fit to write will bequeathing paintings to museum http://t.co/EF3WSuyVPT
388,536835011941396481,0,1,0,0.27622566174941987,0.7237743382505801,False,false_negative,0.22377433825058013,词项'USER USER'(0.512)；词项'accepts'(0.248)；字符片段'ard'(0.248),词项'hoard'(0.210)；词项'gurlitt'(0.206)；字符片段'ove'(0.184),#Gurlitt Bern museum accepts controversial art hoard - SWI swissinfo.ch http://t.co/B0udLwiK1J @swisscenter @fteuscher
389,535721996391178242,0,1,0,0.34727471533151033,0.6527252846684897,False,false_negative,0.15272528466848967,字符片段'acce'(0.226)；词项'accepting'(0.220)；字符片段'acc'(0.211),词项'gurlitt'(0.230)；词项'URL'(0.135)；词项'to'(0.135),"Swiss museum close to accepting #Gurlitt bequest, returning any #Nazi-looted pieces http://t.co/eCo07tfpkF via @WSJ"
390,536844923774205952,0,1,1,0.5330303470080202,0.5330303470080202,True,correct,0.03303034700802021,词项'gurlitt art'(0.546)；词项'accepts gurlitt'(0.543)；词项'accepts'(0.376),字符片段'est'(0.321)；词项'gurlitt'(0.312)；字符片段'.'(0.216),.@fastFT: Swiss museum accepts Gurlitt art bequest http://t.co/0U8i5scqWb
391,536848139836481536,0,1,1,0.5633464156826334,0.5633464156826334,True,correct,0.06334641568263344,词项'accepted'(0.567)；词项'accepted by'(0.567)；词项'by kunstmuseum'(0.396),词项'gurlitt'(0.277)；词项'kunstmuseum bern'(0.190)；词项'URL'(0.162),Gurlitt collection accepted by Kunstmuseum Bern @artnet http://t.co/d2n5Im5qWs
392,536845753394536448,0,1,1,0.6422103747691847,0.6422103747691847,True,correct,0.14221037476918474,词项'accept gurlitt'(0.873)；词项'accept'(0.682)；词项'gurlitt art'(0.464),字符片段'ove'(0.405)；词项'gurlitt'(0.265)；字符片段'tro'(0.183),Swiss museum will accept Gurlitt art trove http://t.co/PJVU6DJXTW
393,535952893589725184,0,0,0,0.04561702678460989,0.9543829732153901,True,correct,0.4543829732153901,字符片段'co'(0.210)；词项'museum'(0.161)；字符片段'bea'(0.109),词项'cousin'(0.429)；词项'cornelius'(0.231)；词项'cornelius gurlitt'(0.231),GMLive: ArtsBeat: Cousin of Cornelius Gurlitt Challenges Will That Leaves Collection to Swiss Museum: A cousin... http://t.co/7jogktByJU
394,536333336353193985,0,0,0,0.046219067552020245,0.9537809324479798,True,correct,0.45378093244797973,字符片段'ard'(0.231)；字符片段'ive'(0.156)；字符片段'na'(0.143),词项'over'(0.470)；字符片段'over'(0.343)；字符片段'ove'(0.311),Last-minute lawsuit filed by relative of Cornelius Gurlitt over Nazi-era art hoard http://t.co/cWPAxyaCB2 Pls RT @ Seb_Kirby
395,535450182142672897,0,0,0,0.14035914224934454,0.8596408577506555,True,correct,0.35964085775065546,词项'art'(0.219)；词项'museum'(0.210)；字符片段'na'(0.184),词项'former'(0.265)；词项'gurlitt'(0.241)；词项'URL'(0.239),Former top judge thinks #Nazi-stolen art 'belongs in a museum' #indianajones #Gurlitt #Germany http://t.co/kqyjtGun9r http://t.co/xNxGpg7RAQ
396,536810390739755009,0,0,0,0.29836912759308903,0.7016308724069109,True,correct,0.20163087240691097,词项'gurlitt art'(0.385)；词项'german'(0.373)；字符片段'nce'(0.337),词项'gurlitt'(0.220)；字符片段'11'(0.180)；字符片段'litt'(0.163),"Swiss museum, German officials to announce fate of  #Gurlitt art collection at 11CET. http://t.co/7NlXiG4hcz"
